de5,de 
xiang4,xiàng 
qing2,qíng 
zheng4,zhèng 
zheng1,zhēng 
ding4,dìng 
nü3,nü3 
wen4,wèn 
li4,lì 
gei3,gěi 
deng3,děng 
hen3,hěn 
ye4,yè 
ye5,ye
zui4,zuì 
jian1,jiān 
gan1,gān 
shen2,shén 
da3,dǎ 
da2,dá 
bian4,biàn 
pian2,pián 
yin1,yīn 
chong2,chóng 
bei4,bèi 
pi1,pī 
zou3,zǒu 
dian4,diàn 
si4,sì 
men2,mén 
xiang1,xiāng 
ci4,cì 
dong1,dōng 
hai3,hǎi 
kou3,kǒu 
shi3,shǐ 
jiao1,jiāo 
jiao4,jiào 
xi1,xī 
ping2,píng 
zhen1,zhēn 
ting1,tīng 
qi4,qì 
xin4,xìn 
bei3,běi 
shao3,shǎo 
shao4,shào 
guan1,guān 
bing4,bìng 
bing1,bīng 
hua1,huā 
you2,yóu 
que4,què 
06/01/11,jūn 
chan3,chǎn 
ru4,rù 
xian1,xiān 
shan1,shān 
wu3,wǔ 
tai4,tài 
shui3,shuǐ 
wan4,wàn 
yan3,yǎn 
ti3,tǐ 
ti1,tī 
bie2,bié 
bie4,biè 
chu4,chù 
chu3,chǔ 
zong3,zǒng 
cai2,cái 
chang3,chǎng 
shi1,shī 
shu1,shū 
bi3,bǐ 
zhu4,zhù 
yuan2,yuán 
jiu3,jiǔ 
xiao4,xiào 
xing4,xìng 
tong1,tōng 
mu4,mù 
hua2,huá 
bao4,bào 
ma3,mǎ 
ming4,mìng 
zhang1,zhāng 
nan2,nán 
nan4,nàn 
shu4,shù 
shu3,shǔ 
shuo4,shuò 
an1,ān 
biao3,biǎo 
che1,chē 
ju1,jū 
bai2,bái 
bo2,bó 
ying1,yīng 
ying4,yìng 
lu4,lù 
qi1,qī 
si3,sǐ 
ti2,tí 
di1,dī 
gan3,gǎn 
jin1,jīn 
geng4,gèng 
geng1,gēng 
fan3,fǎn 
ban3,bǎn 
fang4,fàng 
xi4,xì 
ji4,jì 
si1,sī 
shou4,shòu 
guang1,guāng 
wang2,wáng 
wang4,wàng 
guo3,guǒ 
qin1,qīn 
qing4,qìng 
jie4,jiè 
ga1,gā 
ga4,gà 
ji2,jí 
wu4,wù 
jie3,jiě 
xie4,xiè 
ren4,rèn 
qing1,qīng 
tai2,tái 
tai1,tāi 
bian1,biān 
gong4,gòng 
feng1,fēng 
zhan4,zhàn 
gan4,gàn 
jie1,jiē 
xu3,xǔ 
hu3,hǔ 
ba1,bā 
te4,tè 
jue2,jué 
zhi2,zhí 
fu2,fú 
fu4,fù 
mao2,máo 
lin2,lín 
na1,nā 
du4,dù 
duo2,duó 
tong3,tǒng 
se4,sè 
shai3,shǎi 
qing3,qǐng 
ai4,ài 
rang4,ràng 
suan4,suàn 
lun4,lùn 
lun2,lún 
bai3,bǎi 
bo4,bò 
chi1,chī 
ke1,kē 
zen3,zěn 
she4,shè 
zhu2,zhú 
jie2,jié 
liu4,liù 
si5,si 
sai1,sāi 
fei1,fēi 
liu2,liú 
guan3,guǎn 
fu1,fū 
lian2,lián 
yuan3,yuǎn 
zi1,zī 
gen1,gēn 
tiao2,tiáo 
yuan4,yuàn 
yan2,yán 
wang3,wǎng 
zhan3,zhǎn 
gai1,gāi 
ling3,lǐng 
chuan2,chuán 
zhuan4,zhuàn 
hong2,hóng 
zhou1,zhōu 
bao3,bǎo 
da1,dā 
ta4,tà 
ban4,bàn 
yun4,yùn 
bi4,bì 
fu3,fǔ 
qiang2,qiáng 
qiang3,qiǎng 
wan2,wán 
ge2,gé 
qu1,qū 
ou1,ōu 
qiu2,qiú 
pin3,pǐn 
zhuan3,zhuǎn 
zhuai3,zhuǎi 
liang4,liàng 
liang2,liáng 
kong1,kōng 
kong4,kòng 
shen4,shèn 
gao4,gào 
gu4,gù 
pai4,pài 
pa1,pā 
man3,mǎn 
xi5,xi 
xie3,xiě 
ne5,ne 
ni2,ní 
ling4,lìng 
ling2,líng 
huang2,huáng 
shou1,shōu 
lian3,liǎn 
dang3,dǎng 
dao2,dáo 
chi2,chí 
qu3,qǔ 
shuang1,shuāng 
shang1,shāng 
qian1,qiān 
pian4,piàn 
pian1,piān 
rong2,róng 
zhao3,zhǎo 
guang3,guǎng 
gai3,gǎi 
wei3,wěi 
wei1,wēi 
zao3,zǎo 
fang2,fáng 
huo3,huǒ 
ze2,zé 
dan1,dān 
chan2,chán 
shan4,shàn 
ju4,jù 
ying3,yǐng 
na2,ná 
zhuan1,zhuān 
ruo4,ruò 
re3,rě 
ti4,tì 
shui2,shuí 
shei2,shéi 
du2,dú 
dou4,dòu 
guan4,guàn 
jiu1,jiū 
bao1,bāo 
zu3,zǔ 
zao4,zào 
luo4,luò 
la4,là 
lao4,lào 
luo1,luō 
xi3,xǐ 
li2,lí 
sui1,suī 
tan2,tán 
la1,lā 
la3,lǎ 
la2,lá 
hei1,hēi 
qie3,qiě 
sui2,suí 
ge1,gē 
jin3,jǐn 
jiang3,jiǎng 
sha1,shā 
pa4,pà 
mu3,mǔ 
diao4,diào 
ju2,jú 
ceng2,céng 
zeng1,zēng 
ceng1,cēng 
zhun3,zhǔn 
tuan2,tuán 
duan4,duàn 
le4,lè 
qie1,qiē 
qie4,qiè 
kei1,kēi 
na5,na 
ne2,né 
chong1,chōng 
chong4,chòng 
jing4,jìng 
hu1,hū 
ju3,jǔ 
ku3,kǔ 
zhao4,zhào 
fei4,fèi 
zu2,zú 
er3,ěr 
qun2,qún 
re4,rè 
tui1,tuī 
wan3,wǎn 
cheng1,chēng 
chen4,chèn 
xing1,xīng 
dai1,dāi 
yue1,yuē 
yang2,yáng 
ma5,ma 
ma2,má 
zheng3,zhěng 
gu3,gǔ 
han4,hàn 
tu1,tū 
hao2,háo 
xuan3,xuǎn 
ba5,ba 
can1,cān 
cen1,cēn 
ya4,yà 
lei4,lèi 
huan1,huān 
gang3,gǎng 
chen2,chén 
nong2,nóng 
ban1,bān 
pan2,pán 
bo1,bō 
nian4,niàn 
jia4,jià 
nao3,nǎo 
gui1,guī 
di3,dǐ 
sheng3,shěng 
xing3,xǐng 
ma1,mā 
gang1,gāng 
xian3,xiǎn 
xiao1,xiāo 
po4,pò 
song4,sòng 
bang1,bāng 
cun2,cún 
hai4,hài 
zuo3,zuǒ 
zhuang1,zhuāng 
sui4,suì 
xu1,xū 
tie3,tiě 
chu2,chú 
xue4,xuè 
reng2,réng 
dou3,dǒu 
jiao3,jiǎo 
su1,sū 
biao1,biāo 
fan4,fàn 
yun2,yún 
a1,ā 
e1,ē 
tu3,tǔ 
kuang4,kuàng 
ruan3,ruǎn 
kao3,kǎo 
niang2,niáng 
niang5,niang 
cun1,cūn 
dao1,dāo 
cha2,chá 
zha1,zhā 
yin3,yǐn 
chao2,cháo 
yo1,yō 
xu4,xù 
luo2,luó 
mai3,mǎi 
hu4,hù 
he1,hē 
peng2,péng 
bei1,bēi 
lie4,liè 
tu2,tú 
luan4,luàn 
ye2,yé 
long2,lóng 
zan2,zán 
zan5,zan 
xi2,xí 
cuo4,cuò 
xiong1,xiōng 
an4,àn 
chuang4,chuàng 
chuang1,chuāng 
pai2,pái 
pai3,pǎi 
chun1,chūn 
mang2,máng 
chen1,chēn 
a5,a 
a2,á 
a3,ǎ 
a4,à 
su4,sù 
ting2,tíng 
yin4,yìn 
leng3,lěng 
gu1,gū 
wan1,wān 
guai4,guài 
pang2,páng 
bang4,bàng 
fou3,fǒu 
pi3,pǐ 
cai3,cǎi 
cai4,cài 
deng1,dēng 
gou4,gòu 
sai4,sài 
mi3,mǐ 
jia3,jiǎ 
lou2,lóu 
11/01/11,sūn 
xuan1,xuān 
chuan1,chuān 
tang2,táng 
tang1,tāng 
yang1,yāng 
huai2,huái 
yan4,yàn 
ying2,yíng 
yang3,yǎng 
jing3,jǐng 
guo1,guō 
e4,è 
e3,ě 
man4,màn 
sheng4,shèng 
cang2,cáng 
zang4,zàng 
zhai1,zhāi 
qiao2,qiáo 
mu2,mú 
cao3,cǎo 
mou3,mǒu 
yin2,yín 
lou4,lòu 
zhen4,zhèn 
xiu1,xiū 
cha4,chà 
cha1,chā 
chai1,chāi 
ci1,cī 
cuo1,cuō 
mi4,mì 
lü4,lü4 
tian2,tián 
jian3,jiǎn 
mian3,miǎn 
wu1,wū 
huan4,huàn 
tui4,tuì 
lao2,láo 
bai5,bai 
pi2,pí 
xiong2,xióng 
hun1,hūn 
kang1,kāng 
zhui1,zhuī 
ha1,hā 
ha3,hǎ 
ha4,hà 
fan1,fān 
pao3,pǎo 
pao2,páo 
chao1,chāo 
xie2,xié 
ya1,yā 
zhan1,zhān 
yong3,yǒng 
po2,pó 
lan2,lán 
dun4,dùn 
pu3,pǔ 
pan4,pàn 
zui3,zuǐ 
you1,yōu 
nin2,nín 
yan1,yān 
san4,sàn 
san3,sǎn 
fang3,fǎng 
mei4,mèi 
fo2,fó 
tao3,tǎo 
yao2,yáo 
tiao4,tiào 
lian4,liàn 
ken3,kěn 
hui1,huī 
wen1,wēn 
rou4,ròu 
ce4,cè 
ding3,dǐng 
xun2,xún 
xin2,xín 
ning4,nìng 
ning2,níng 
zhua1,zhuā 
mai4,mài 
shun4,shùn 
meng4,mèng 
meng2,méng 
meng1,mēng 
meng3,měng 
piao4,piào 
duan1,duān 
kao4,kào 
za2,zá 
za1,zā 
gui4,guì 
nu4,nù 
gao3,gǎo 
pai1,pāi 
shuai4,shuài 
la5,la 
en1,ēn 
ku1,kū 
ka3,kǎ 
qia3,qiǎ 
xue3,xuě 
niu2,niú 
zhang4,zhàng 
song1,sōng 
huai4,huài 
deng4,dèng 
duan3,duǎn 
chu5,chu 
lüe4,lüè 
kang4,kàng 
zai3,zǎi 
bai4,bài 
qiang1,qiāng 
jing5,jing 
die1,diē 
kuo4,kuò 
xiang2,xiáng 
ben1,bēn 
ben4,bèn 
ren3,rěn 
zong1,zōng 
xun4,xùn 
pei4,pèi 
zhuang4,zhuàng 
kuan3,kuǎn 
chuang2,chuáng 
tao4,tào 
lü3,lü3 
tao2,táo 
ma4,mà 
chang4,chàng 
ci2,cí 
kun4,kùn 
shu2,shú 
shou2,shóu 
gui3,guǐ 
qiu1,qiū 
xiu4,xiù 
ding1,dīng 
shen3,shěn 
zhu1,zhū 
zhuo1,zhuō 
nong4,nòng 
long4,lòng 
shan3,shǎn 
nao4,nào 
kong3,kǒng 
ya5,ya 
ku4,kù 
tui3,tuǐ 
xu2,xú 
zun1,zūn 
e2,é 
zhe2,zhé 
she2,shé 
zhe1,zhē 
pu4,pù 
que1,quē 
mi2,mí 
lu3,lǔ 
tan4,tàn 
huan3,huǎn 
fan2,fán 
shao1,shāo 
gai4,gài 
tou4,tòu 
dong3,dǒng 
yong1,yōng 
gou3,gǒu 
tou1,tōu 
heng4,hèng 
han3,hǎn 
nai3,nǎi 
juan3,juǎn 
juan4,juàn 
miao4,miào 
ai2,ái 
lang4,làng 
chou1,chōu 
zong4,zòng 
ye1,yē 
mo1,mō 
gua4,guà 
zhai2,zhái 
hen4,hèn 
she3,shě 
han2,hán 
ao4,ào 
pan1,pān 
hun4,hùn 
hun2,hún 
mie4,miè 
wo4,wò 
ya2,yá 
kuan1,kuān 
bu3,bǔ 
quan1,quān 
juan1,juān 
ya3,yǎ 
zan4,zàn 
wen3,wěn 
lai4,lài 
lei2,léi 
zao1,zāo 
tiao1,tiāo 
tiao3,tiǎo 
tao1,tāo 
rou2,róu 
rui4,ruì 
bei5,bei 
ting3,tǐng 
cao1,cāo 
cao4,cào 
kuang2,kuáng 
gang4,gàng 
can2,cán 
zai1,zāi 
qiao1,qiāo 
qiao3,qiǎo 
chou2,chóu 
chui1,chuī 
mou2,móu 
11/03/11,sǔn 
min3,mǐn 
ling1,līng 
lei3,lěi 
dan3,dǎn 
pei2,péi 
seng1,sēng 
tan3,tǎn 
peng4,pèng 
mao4,mào 
su2,sú 
qiong2,qióng 
po1,pō 
piao1,piāo 
ba2,bá 
chun2,chún 
sao3,sǎo 
sao4,sào 
pao4,pào 
tie1,tiē 
gun3,gǔn 
run4,rùn 
huang1,huāng 
bi1,bī 
dui1,duī 
zui1,zuī 
lang2,láng 
lia3,liǎ 
xian2,xián 
cu4,cù 
yi5,yi 
pin2,pín 
pu1,pū 
sa4,sà 
feng4,fèng 
sen1,sēn 
xia2,xiá 
long1,lōng 
suo1,suō 
ni4,nì 
bi2,bí 
can3,cǎn 
xiu3,xiǔ 
cu1,cū 
teng2,téng 
teng1,tēng 
ran3,rǎn 
liu3,liǔ 
duo3,duǒ 
nu3,nǔ 
lang3,lǎng 
zha2,zhá 
quan4,quàn 
bao2,báo 
06/04/11,jùn 
tu4,tù 
tang3,tǎng 
sang4,sàng 
sang1,sāng 
pa2,pá 
ou3,ǒu 
huang4,huàng 
huang3,huǎng 
chi4,chì 
lan4,làn 
lan1,lān 
lei1,lēi 
liao2,liáo 
ta3,tǎ 
da5,da 
yao3,yǎo 
zha4,zhà 
wang1,wāng 
piao3,piǎo 
sa1,sā 
sa3,sǎ 
qia4,qià 
yu1,yū 
bin1,bīn 
du3,dǔ 
miao2,miáo 
fen3,fěn 
zei2,zéi 
fa2,fá 
lie3,liě 
fei3,fěi 
che4,chè 
xuan2,xuán 
hong1,hōng 
duo5,duo 
niao3,niǎo 
diao3,diǎo 
qin2,qín 
pin4,pìn 
kui1,kuī 
diu1,diū 
nai4,nài 
suan1,suān 
pang4,pàng 
sha3,shǎ 
rao4,rào 
heng1,hēng 
hng5,hng 
ru3,rǔ 
cai1,cāi 
tu5,tu 
men1,mēn 
men4,mèn 
nu2,nú 
jia2,jiá 
yun3,yǔn 
zu1,zū 
chi3,chǐ 
che3,chě 
chan4,chàn 
niu3,niǔ 
niu1,niū 
wa3,wǎ 
wa4,wà 
wa1,wā 
ca1,cā 
zou4,zòu 
mai2,mái 
man2,mán 
shuai1,shuāi 
kua4,kuà 
cang1,cāng 
xuan4,xuàn 
zuan1,zuān 
zuan4,zuàn 
wa2,wá 
kai3,kǎi 
mao1,māo 
chou3,chǒu 
nuan3,nuǎn 
liu1,liū 
chou4,chòu 
chui2,chuí 
kan3,kǎn 
ai1,āi 
cao2,cáo 
lan3,lǎn 
zang1,zāng 
pao1,pāo 
fei2,féi 
wo1,wō 
bing3,bǐng 
cun4,cùn 
kou4,kòu 
qian3,qiǎn 
chai2,chái 
diao1,diāo 
gua1,guā 
shua1,shuā 
shua4,shuà 
feng2,féng 
kun1,kūn 
chao3,chǎo 
gou1,gōu 
chuan4,chuàn 
pi4,pì 
pin1,pīn 
cui4,cuì 
chuang3,chuǎng 
tan1,tān 
rao3,rǎo 
hou2,hóu 
mo3,mǒ 
lu2,lú 
zeng4,zèng 
yun1,yūn 
chang1,chāng 
tun1,tūn 
xue1,xuē 
reng1,rēng 
shuang3,shuǎng 
cui1,cuī 
cou4,còu 
pen2,pén 
long3,lǒng 
dian1,diān 
kui4,kuì 
peng3,pěng 
dun1,dūn 
sheng2,shéng 
yuan1,yuān 
zhou4,zhòu 
rao2,ráo 
pen1,pēn 
pen4,pèn 
weng1,wēng 
mian2,mián 
sou1,sōu 
qian4,qiàn 
xia1,xiā 
ai3,ǎi 
sha4,shà 
pu2,pú 
ang2,áng 
kua1,kuā 
hen2,hén 
zhai4,zhài 
tuo3,tuǒ 
tuo4,tuò 
mian1,miān 
li1,lī 
gun4,gùn 
lin4,lìn 
lin1,līn 
rang3,rǎng 
rang1,rāng 
han5,han 
bang3,bǎng 
pang1,pāng 
nie1,niē 
geng3,gěng 
tuo2,tuó 
fen2,fén 
guai1,guāi 
hong3,hǒng 
hong4,hòng 
shi5,shi 
yo5,yo 
chuan3,chuǎn 
keng1,kēng 
wai1,wāi 
piao2,piáo 
gua3,guǎ 
lüe3,lüě 
an3,ǎn 
en4,èn 
en5,en 
jiang5,jiang 
sang3,sǎng 
guai3,guǎi 
sha2,shá 
zhen3,zhěn 
miao3,miǎo 
sao1,sāo 
tang4,tàng 
cha3,chǎ 
hou3,hǒu 
die2,dié 
ao2,áo 
ao1,āo 
hai1,hāi 
ke2,ké 
wa5,wa 
cuan4,cuàn 
niao4,niào 
dai3,dǎi 
bo5,bo 
ka1,kā 
nang2,náng 
nang1,nāng 
qu2,qú 
duo4,duò 
peng1,pēng 
ni1,nī 
lin3,lǐn 
luo3,luǒ 
chong3,chǒng 
gong3,gǒng 
shuai3,shuǎi 
lou3,lǒu 
lou1,lōu 
can4,càn 
nen4,nèn 
song3,sǒng 
lu1,lū 
qiao4,qiào 
chun3,chǔn 
shua3,shuǎ 
ei1,ēi 
zhua3,zhuǎ 
jiao2,jiáo 
guang4,guàng 
shai4,shài 
ping1,pīng 
feng3,fěng 
zhui4,zhuì 
leng4,lèng 
leng1,lēng 
lao1,lāo 
o2,ó 
o4,ò 
kua3,kuǎ 
niang4,niàng 
gui5,gui 
bian3,biǎn 
zha3,zhǎ 
tun2,tún 
